headline,abstract,lead paragraph,first keyword,type of material,lead paragraph keywords,Main Keywords lead paragraph (tf- idf),abstract keywords,Main Keywords abstract (tf- idf),headline keywords,Main Keywords headline (tf- idf)
The Very High Costs of Climate Risk,The bankruptcy of California’s biggest electric and gas utility is a case in point.,"Before the catastrophic Camp Fire destroyed Paradise, Calif., the Pacific Gas and Electric Company was worth more than $25 billion. Now its C.E.O. has stepped down and the company, which provides natural gas and electricity to 16 million people in California, has filed for bankruptcy as it confronts billions of dollars in potential liability claims following recent wildfires. It is perhaps not the first bankruptcy in which the changing climate played a role, but it is almost certainly the largest. And no doubt, it won’t be the last.",Global Warming,Op-Ed,"gas, company, billion","['camp', 'fire', 'paradis', 'calif', 'pacif', 'ga', 'compani', 'ceo', 'compani', 'ga', 'electr', 'peopl', 'california', 'bankruptci', 'billion', 'dollar', 'liabil', 'claim', 'wildfir', 'bankruptci', 'climat', 'role', 'doubt', '’']","bankruptcy, california, biggest","['bankruptci', 'california', '’', 'electr', 'ga', 'util', 'case', 'point']","high, cost, climate","['cost', 'climat', 'risk']"
"Huawei, Venezuela, Brexit: Your Wednesday Briefing",Let us help you start your day.,(Want to get this briefing by email? Here’s the sign-up.) ,,briefing,"want, get, briefing","['want', 'brief', 'email', '’', 'signup']","let, u, help",['day'],"huawei, venezuela, brexit","['huawei', 'venezuela', 'wednesday', 'brief']"
The Ribbon Opens a Branch in Times Square,"Roberto Deiaco of Armani Ristorante opens a spot in the former Da Silvano, Dell’anima reopens, and other restaurant news.","Back in 2015, when they opened their first outpost of the Ribbon, on West 72nd Street, Bruce and Eric Bromberg said their menu was designed to be replicated in other locations. Now  they’re finally testing it out. Except for a larger selection of seafood platters and a fried chicken that’s served daily instead of weekly, the 300-seat version of the Ribbon in Times Square, in the multilevel sprawl that once housed Guy Fieri’s restaurant, Guy’s American Kitchen & Bar, has virtually the same menu. “The restaurant is really the same, even though there’s a different audience,” Bruce Bromberg said. “From the first Blue Ribbon in SoHo in 1992, our menus have had wide-ranging appeal.” Soups, smoked salmon, salads, burgers, a French dip, spit-roasted meats, pastas, steaks and prime ribs are served. There’s theatrical lighting throughout, from the ground-floor Marquee Bar, specializing in whiskeys, to the dining room, a space called the Oyster Bar, and other dining areas that can be used for à la carte dining or private parties. The décor is vintage New York, drawing largely from the 1920s to the ’40s, with old photographs, subtle references to The New York Times (which once occupied the building) and books from that era that are used to present the dinner check.  (Opens Wednesday)",Restaurants,News,"ribbon, menu, bar","['outpost', 'ribbon', 'street', 'bruce', 'bromberg', 'menu', 'locat', 'select', 'seafood', 'platter', 'chicken', 'version', 'ribbon', 'time', 'multilevel', 'sprawl', 'guy', 'fieri', '’', 'restaur', 'guy', '’', 'kitchen', 'bar', 'menu', 'restaur', '’', 'audienc', '”', 'bruce', 'bromberg', '“', 'ribbon', 'soho', 'menu', 'appeal', '”', 'soup', 'salad', 'dip', 'meat', 'steak', 'rib', 'groundfloor', 'marque', 'bar', 'whiskey', 'dine', 'room', 'space', 'oyster', 'bar', 'area', 'à', 'la', 'parti', 'décor', 'york', 'photograph', 'subtl', 'refer', 'york', 'time', 'build', 'book', 'era', 'dinner', 'check']","roberto, deiaco, armani","['roberto', 'deiaco', 'ristorant', 'spot', 'da', 'silvano', 'dell', '’', 'anima', 'reopen', 'restaur', 'news']","ribbon, open, branch","['ribbon', 'branch', 'time']"
Steven Mnuchin Draws Claims of Conflict of Interest in Decision on Russian Oligarch,Democratic lawmakers raised concerns about the Treasury secretary after a sanctions-lifting agreement benefited a big Republican donor.,WASHINGTON — Democrats in Congress raised ethical concerns on Tuesday about connections between Treasury Secretary Steven Mnuchin and a billionaire Republican donor who stands to benefit financially from the Trump administration’s decision to lift sanctions on the Russian oligarch Oleg V. Deripaska’s companies.,"Mnuchin, Steven T",News,"washington, democrat, congress","['washington', '—', 'democrat', 'congress', 'concern', 'tuesday', 'connect', 'treasuri', 'secretari', 'steven', 'mnuchin', 'donor', 'trump', 'administr', '’', 'decis', 'sanction', 'oligarch', 'oleg', 'v', 'deripaska', '’', 'compani']","democratic, lawmaker, raised","['lawmak', 'concern', 'treasuri', 'secretari', 'agreement', 'republican', 'donor']","steven, mnuchin, draw","['draw', 'claim', 'conflict', 'interest', 'decis', 'oligarch']"
How Bitcoin Could Help Iran Undermine U.S. Sanctions,"The cryptocurrency could allow Iranians to make international payments without using the U.S. banking system, an important lever of American power.","TEHRAN — Stepping from a car into a muddy industrial site in the Iranian desert, a 22-year-old European Bitcoin investor raised his voice to be heard over the roar of a gas-fired generator.",Bitcoin (Currency),News,"tehran, stepping, car","['tehran', '—', 'car', 'site', 'desert', 'bitcoin', 'investor', 'voic', 'roar', 'gener']","cryptocurrency, could, allow","['cryptocurr', 'iranian', 'payment', 'bank', 'system', 'lever', 'power']","bitcoin, could, help","['bitcoin', 'sanction']"
"No ‘Clear Motivating Factor’ Inspired Las Vegas Gunman, F.B.I. Says","Stephen Paddock most likely chose a music festival for his rampage, which killed 58 people, because of the image of harming people who were having fun, an F.B.I. report said.","Stephen Paddock, the gunman who killed 58 people in a barrage of gunfire from his perch in a Las Vegas hotel suite, had sought infamy and most likely chose his target, an outdoor music festival, because of the image of harming people who were having fun, according to an F.B.I. report released on Tuesday.","Las Vegas, Nev, Shooting (October, 2017)",News,"people, stephen, paddock","['stephen', 'gunman', 'peopl', 'barrag', 'gunfir', 'perch', 'vega', 'hotel', 'suit', 'infami', 'target', 'music', 'festiv', 'imag', 'peopl', 'fun', 'report', 'tuesday']","people, stephen, paddock","['stephen', 'paddock', 'music', 'festiv', 'rampag', 'peopl', 'imag', 'peopl', 'fun', 'report']","clear, motivating, factor","['‘', 'factor', '’', 'la', 'fbi']"
Mark Zuckerberg’s Delusion of Consumer Consent,"He said Facebook users want tailored ads. According to our research, that’s not true.","The internet’s business model is tailored advertising. Internet firms hoover up information about what you do and say on the web, in apps and even in physical locations. They then sell advertisers the ability to figure out whether you’re valuable enough for them to want to reach you, and if you are, how they should try to persuade you.",Online Advertising,Op-Ed,"internet, business, model","['internet', '’', 'busi', 'model', 'firm', 'inform', 'web', 'app', 'locat', 'advertis', 'abil']","said, facebook, user","['facebook', 'user', 'ad', 'research']","mark, zuckerberg, delusion","['mark', 'zuckerberg', '’', 'delus', 'consum', 'consent']"
The Kathleen Collins Revival Continues With ‘Notes From a Black Woman’s Diary’,"This collection of work by Collins, who died relatively unknown but has been championed in recent years, is a grab bag of letters, diary entries, short stories, plays and screenplays.","The writer and filmmaker Kathleen Collins died in 1988, at the age of 46 — young, brilliant and, for the most part, unknown.",Books and Literature,Review,"writer, filmmaker, kathleen","['writer', 'filmmak', 'kathleen', 'collin', 'age', 'brilliant', 'part', 'unknown']","collection, work, collins","['collect', 'work', 'collin', 'year', 'bag', 'letter', 'entri', 'stori', 'play', 'screenplay']","kathleen, collins, revival","['kathleen', 'note', 'woman', '’', '’']"
"Bribes Like ‘Monopoly Money’ Were Given to South Africa’s Leaders, Panel Hears","A former executive at a logistics company delivered explosive testimony about corruption inside the African National Congress, South Africa’s governing party.","Cash bribes were called “monopoly money,” and handed out to high-ranking members of South Africa’s governing party on monthly retainers. When that payoff wasn’t enough, $22,000 was stuffed into a Louis Vuitton handbag and delivered to a close ally of the president at the time.",South Africa,News,"cash, bribe, called","['cash', 'bribe', 'monopoli', 'money', '”', 'member', '’', 'parti', 'retain', 'payoff', '’', 'vuitton', 'handbag', 'alli', 'presid', 'time']","former, executive, logistics","['execut', 'logist', 'compani', 'testimoni', 'corrupt', 'congress', '’', 'parti']","bribe, like, monopoly","['bribe', '‘', 'monopoli', 'money', '’', '’', 'leader', 'panel', 'hear']"
The Polar Vortex: Hard Facts About Cold Weather,You could get frostbite in as little as five minutes. It will be warmer in Antarctica than it is in Des Moines. It could feel like minus 65 in Minneapolis.,"CAMBRIDGE, Mass. — The polar vortex is bringing dangerously low temperatures to a wide swath of the Midwest, forcing schools and universities to close and leading  the governors of Illinois, Michigan and Wisconsin to declare  emergencies. ",Temperature,News,"cambridge, mass, polar","['cambridg', 'mass', 'vortex', 'temperatur', 'swath', 'forc', 'school', 'univers', 'governor', 'illinoi', 'michigan', 'wisconsin', 'emerg']","could, get, frostbite","['minut', 'antarctica', 'de', 'moin', 'minu', 'minneapoli']","polar, vortex, hard","['fact', 'weather']"
What Happens When Men Are Too Afraid to Mentor Women?,A ripple effect of #MeToo that women did not ask for: fewer champions.,"Welcome to In Her Words, where women rule the headlines. Sign up here to get it delivered to your inbox. Let me know what you think at dearmaya@nytimes.com.",#MeToo Movement,News,"welcome, word, woman","['welcom', 'word', 'woman', 'headlin', 'inbox', 'dearmayanytimescom']","ripple, effect, metoo","['effect', 'metoo', 'woman', 'champion']","happens, men, afraid","['men', 'woman']"
Thousands More Troops Heading to Border as Defense Dept. Officials Defend Deployments,"The Pentagon will send another 2,000 troops to the border with Mexico, nearly doubling the number there and bringing the cost to hundreds of millions of dollars.","WASHINGTON — The Pentagon is poised to send at least 2,000 more active-duty troops to the southwestern border, Defense Department officials said Tuesday, deployments that have already cost the military hundreds of millions of dollars and thrust the department into the center of the debate over border security and President Trump’s proposed wall.",United States Defense and Military Forces,News,"border, department, washington","['washington', 'pentagon', 'activeduti', 'troop', 'border', 'defens', 'depart', 'offici', 'deploy', 'hundr', 'million', 'dollar', 'depart', 'center', 'debat', 'secur', 'presid', 'trump', '’', 'wall']","pentagon, send, another","['pentagon', 'troop', 'border', 'mexico', 'number', 'cost', 'hundr', 'million', 'dollar']","thousand, troop, heading","['thousand', 'troop', 'defens', 'dept', 'offici', 'deploy']"
James Turrell Asks MoMA PS1 to Close Installation,"The work, “Meeting,” which intends to offer an uninterrupted view of sky, was closed after media reports of construction marring the view.","First, they came for the graffiti artists. Now it’s a famed installation maker.",Art,News,"first, came, graffiti","['artist', 'instal', 'maker']","view, work, meeting","['work', '“', 'meet', '”', 'view', 'sky', 'medium', 'report', 'construct', 'view']","james, turrell, asks","['jame', 'ps1', 'instal']"
El Chapo’s Defense? It Lasted Just 30 Minutes,"The abbreviated defense followed an epic, 10-week presentation by the prosecution.",[What you need to know to start the day: Get New York Today in your inbox.],"Guzman Loera, Joaquin",News,"need, know, start","['day', 'york', 'today', 'inbox']","abbreviated, defense, followed","['defens', 'epic', 'present', 'prosecut']","el, chapo, defense","['el', 'chapo', '’', 'defens', 'minut']"
Houston Narcotics Officers Were Greeted by a Charging Dog and a Barrage of Bullets,A gun battle left five officers wounded and two people inside a home dead. All of the officers are expected to survive.,"After narcotics officers knocked down the door of a Houston home, the first one to enter was greeted by a charging dog and gunfire from a man wielding a .357 Magnum revolver, the authorities said on Tuesday.",Attacks on Police,News,"narcotic, officer, knocked","['narcot', 'offic', 'door', 'houston', 'home', 'dog', 'gunfir', 'man', 'magnum', 'author', 'tuesday']","officer, gun, battle","['battl', 'offic', 'peopl', 'home', 'offic']","houston, narcotic, officer","['houston', 'narcot', 'offic', 'dog', 'barrag', 'bullet']"
